word	label
133_1::span:0:3	-1
133_1::span:5:8	-1
133_1::span:10:11	-1
133_1::span:13:15	1
133_1::span:17:19	1
133_1::span:21:27	-1
133_1::span:29:31	-1
133_1::span:33:36	1
133_1::span:38:45	1
133_1::span:47:48	-1
133_1::span:50:56	-1
133_1::span:58:59	1
133_1::span:61:62	-1
133_1::span:64:66	1
133_1::span:68:69	-1
133_1::span:71:73	1
133_1::span:75:77	-1
133_1::span:79:86	1
133_1::span:88:90	1
133_1::span:92:93	-1
133_1::span:95:98	-1
133_1::span:100:103	-1
133_1::span:105:113	-1
133_1::span:115:122	1
133_1::span:124:127	-1
133_1::span:129:132	-1
133_1::span:134:136	1
133_1::span:138:141	1
133_1::span:143:146	1
181_10::span:0:2	1
181_10::span:4:5	-1
181_10::span:7:13	1
181_10::span:15:19	-1
181_10::span:21:22	-1
181_10::span:24:25	-1
181_10::span:27:30	1
181_10::span:32:41	-1
181_10::span:43:54	1
181_10::span:56:59	-1
181_10::span:61:66	1
181_10::span:68:74	-1
181_10::span:76:80	1
181_10::span:82:85	-1
181_10::span:87:91	-1
181_10::span:93:99	-1
181_10::span:101:104	1
181_10::span:106:112	-1
181_10::span:114:118	-1
181_10::span:120:121	1
181_10::span:123:130	-1
181_10::span:132:142	-1
181_10::span:144:145	1
181_10::span:147:155	1
181_10::span:157:160	-1
181_10::span:162:168	1
181_10::span:170:171	-1
181_10::span:173:179	-1
181_10::span:181:184	1
181_10::span:186:192	-1
181_10::span:194:198	1
181_10::span:200:205	-1
181_10::span:207:210	1
181_10::span:212:214	-1
181_10::span:216:219	1
181_10::span:221:222	-1
181_10::span:224:227	-1
181_10::span:229:230	1
181_10::span:232:235	-1
181_10::span:237:243	1
181_10::span:245:252	1
181_10::span:254:259	-1
181_10::span:261:265	-1
181_10::span:267:271	-1
181_10::span:273:280	1
181_10::span:282:285	1
181_10::span:287:290	1
181_10::span:292:295	-1
181_10::span:297:301	1
12_4::span:0:3	1
12_4::span:5:8	-1
12_4::span:10:11	-1
