word	label
133_1::span:0:5	1
133_1::span:7:13	1
133_1::span:15:25	1
133_1::span:27:36	-1
133_1::span:38:48	1
133_1::span:50:61	-1
133_1::span:63:69	1
133_1::span:71:81	1
133_1::span:83:88	-1
181_10::span:0:6	1
181_10::span:8:20	-1
181_10::span:22:36	1
181_10::span:38:44	-1
181_10::span:46:53	1
181_10::span:55:62	-1
181_10::span:64:73	1
181_10::span:75:82	1
181_10::span:84:90	1
181_10::span:92:99	-1
181_10::span:101:110	1
181_10::span:112:118	1
181_10::span:120:127	1
12_4::span:0:6	-1
12_4::span:8:15	-1
12_4::span:17:24	-1
12_4::span:26:36	-1
12_4::span:38:46	-1
12_4::span:48:58	-1
12_4::span:60:68	-1
12_4::span:70:83	-1
12_4::span:85:92	1
174_2::span:0:12	1
174_2::span:14:25	1
174_2::span:27:35	1
174_2::span:37:50	1
174_2::span:52:60	-1
174_2::span:62:72	-1
174_2::span:74:86	-1
174_2::span:88:95	-1
156_3::span:0:10	-1
156_3::span:12:19	1
156_3::span:21:28	1
156_3::span:30:42	1
156_3::span:44:54	1
156_3::span:56:63	-1
156_3::span:65:71	1
156_3::span:73:79	1
156_3::span:81:86	-1
156_3::span:88:95	1
156_3::span:97:103	-1
156_3::span:105:112	-1
156_3::span:114:120	-1
156_3::span:122:127	1
156_3::span:129:139	1
50_3::span:0:5	-1
50_3::span:7:13	-1
50_3::span:15:21	-1
50_3::span:23:28	1
50_3::span:30:35	-1
50_3::span:37:46	1
50_3::span:48:56	1
50_3::span:58:67	1
50_3::span:69:76	1
50_3::span:78:93	-1
50_3::span:95:101	1
50_3::span:103:109	1
50_3::span:111:118	1
64_10::span:0:6	1
64_10::span:8:15	-1
64_10::span:17:23	-1
223_3::span:0:7	1
223_3::span:9:15	1
223_3::span:17:26	1
223_3::span:28:34	1
223_3::span:36:43	-1
223_3::span:45:51	-1
223_3::span:53:59	1
223_3::span:61:68	1
223_3::span:70:76	1
223_3::span:78:87	1
223_3::span:89:96	1
223_3::span:98:106	-1
223_3::span:108:117	1
